datetime,city,state,country,shape,duration (seconds),comments,latitude,longitude 
10/10/1970 16:00,bellmore,ny,us,disk,1800,silver disc seen by family and neighbors,40.6686111,-73.5275
10/10/1971 21:00,lexington,nc,us,oval,30,green oval shaped light over my local church power lines down..,35.8238889,-80.2536111
10/10/1974 23:00,hudson,ks,us,light,1200,The light chased us.,38.1055556,-98.6597222
10/10/1976 20:30,washougal,wa,us,oval,60,Three extremely large lights hanging above nearby trees.,45.5827778,-122.3522222
10/10/1980 23:30,manchester,nh,us,light,300,A red glowing sphere stopped and watched me.,42.9955556,-71.4552778
10/10/1984 12:00,traverse city,mi,us,other,120,translucent football seen over city airport,44.7630556,-85.6205556
10/10/1993 23:00,carthage,tn,us,other,60,1 object with green and red lights,36.2522222,-85.9516667
10/10/1996 22:30,monroe county,oh,us,cylinder,60,Looked like it went through the hillside,39.4402778,-84.3622222
10/10/1998 17:30,las vegas,nv,us,circle,2700,Ufo sighting in las vegas near Area51,36.175,-115.1363889
10/10/1999 21:30,humphrey,ne,us,sphere,300,Object moving erratically in sky stopped by spot light,41.6916667,-97.4841667
10/10/2000 22:00,port orchard,wa,us,diamond,60,One night my window started to flash,47.5405556,-122.635
